id,tfidf_a_physically-disabled_person_a_human,char_a_physically-disabled_person_a_human,tfidf_a_physically-disabled_person_a_woman,char_a_physically-disabled_person_a_woman,tfidf_a_physically-disabled_person_an_African_person,char_a_physically-disabled_person_an_African_person,tfidf_a_physically-disabled_person_an_able-bodied_person,char_a_physically-disabled_person_an_able-bodied_person,tfidf_a_human_a_woman,char_a_human_a_woman,tfidf_a_human_an_African_person,char_a_human_an_African_person,tfidf_a_human_an_able-bodied_person,char_a_human_an_able-bodied_person,tfidf_a_woman_an_African_person,char_a_woman_an_African_person,tfidf_a_woman_an_able-bodied_person,char_a_woman_an_able-bodied_person,tfidf_an_African_person_an_able-bodied_person,char_an_African_person_an_able-bodied_person
0,0.9642176469849725,0.06407192443382269,0.9409725830579543,0.03339011925042589,0.9546068112066971,0.05426134737565108,0.9623090615308376,0.06560918756040707,0.972449715746777,0.1085403882909164,0.9711987755043073,0.08641037329686471,0.9838382851735044,0.17984995720255778,0.9642408316175448,0.1327670761919207,0.9736673582274845,0.07156857817761472,0.9645980632397211,0.10081992104464015
1,0.8410123984557267,0.042846497764530554,0.9329765455115108,0.08225601178913523,0.8168806130123343,0.04903741373047584,0.941878693980837,0.09828685757158935,0.8903394100878654,0.0527236673276566,0.84455537353878,0.22164948453608246,0.8535642093359386,0.0500103755965968,0.8289574395923106,0.050853203751836364,0.9424688435081182,0.14416889595835441,0.8407072243639606,0.045188622150494254
2,0.8869170190905377,0.16219475429605065,0.9199555225953154,0.16517749335909201,0.8751098855639217,0.2399600897979546,0.920463032547618,0.23157894736842105,0.8964306668258272,0.18780788177339902,0.8881416301867228,0.18356867779204109,0.8645729785927831,0.21417706114998478,0.9104996791581379,0.28578680203045687,0.9458529815895376,0.44855266358550233,0.890984406567131,0.23473234481025385
3,0.8597240038489231,0.36679725759059745,0.8559908520229282,0.29919499105545616,0.8980636203619053,0.4614070065508402,0.9331937112811982,0.5306704707560628,0.8977834008402875,0.2603147596767333,0.8295675495127488,0.2753274525527934,0.8496201846923406,0.30950468540829984,0.8339135316511401,0.221361104383628,0.8476812375070946,0.25612418142129517,0.905906716792336,0.4351676154332701
4,0.8813374860190106,0.09192307692307693,0.8824792870159631,0.1382219338092148,0.835875529770114,0.199491381746256,0.9035881698968997,0.27210526315789474,0.9207668053898206,0.10416121434179534,0.9138462231825337,0.06657364959138928,0.9192266839625984,0.14513073133762788,0.8561414148260958,0.08861394415649557,0.9003618784772184,0.1400192246074976,0.8865527672556285,0.2521426596627039
5,0.9349101162377009,0.22383465259454705,0.8820138597520805,0.11673528699442964,0.8811734980436369,0.12216404886561955,0.9016365803671322,0.10813287514318443,0.9318652155641994,0.10387902695595003,0.9189996156139958,0.1358830146231721,0.9270891078114228,0.13044384246718066,0.9135406275648777,0.4217585692995529,0.9270016184801306,0.24703196347031964,0.9170255160555733,0.17644298451431253
6,0.8639511365584999,0.2539109506618532,0.864382132706254,0.06639313688922044,0.8419942477962958,0.17759562841530055,0.9064439642279547,0.40200375704445834,0.8531494012257375,0.14603174603174604,0.8172195181590997,0.14406229720960415,0.8619709386733417,0.34169653524492233,0.8322832004472377,0.056580565805658053,0.8538448858448212,0.07689463955637708,0.8628069070857357,0.24119241192411925
7,0.9338352812384946,0.3698756333486872,0.964484710791029,0.556420233463035,0.962087738878189,0.36511375947995667,0.9350938658364338,0.37166138524219106,0.944595052821416,0.27954022988505745,0.9245115104009387,0.22538958570885595,0.9559417488241063,0.27571221632061804,0.9580544476546294,0.24125495852866932,0.9514368147256083,0.31812019882512427,0.9307632264174925,0.26376920194829523
8,0.8509376053382716,0.40974639482844355,0.8808428007573977,0.1661552985603021,0.8233634165167012,0.09335810496980956,0.871896827392557,0.41730994152046785,0.8166869267472623,0.1462180622312168,0.7361706755821095,0.0939830929885629,0.8610316283180677,0.4029065397143573,0.7919695422666451,0.07741326410195894,0.877734551356214,0.19781264859724204,0.8169914955015387,0.06970760233918129
9,0.9285016464499452,0.29703852148741927,0.8861090142919851,0.19704641350210972,0.8864896596900249,0.08599567619505165,0.906058733096541,0.12497240008831972,0.8736217242426568,0.24407850214301827,0.8896053422684238,0.09387966804979253,0.8940626555993855,0.09047844623401231,0.8288084199658965,0.12764920828258222,0.86352413332438,0.08365019011406843,0.8906697051054113,0.22342064714946072
